Loop Target Address     , CountSeen        , CountLoopInvoked   , MeanTaken   , DiffCount   , Routine Name      , Routine Address      , Routine Invocations Count
0x7fb2e6f950ff, 5, 5, 1, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f91085, 5, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x40d1a1, 5, 22, 0, 6, sendMTFValues, 0x40ceee, 1
0x7fb2e6f87b3d, 5, 1, 5, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2d31324c0, 5, 0, 0, 0, killpg, 0x7fb2d3132470, 0
0x7fb2d31a786c, 4, 0, 0, 0, strerror_l, 0x7fb2d319c370, 0
0x7fb2e6f959b0, 4, 1, 4, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f9bc30, 4, 3, 1, 0, _dl_find_dso_for_object, 0x7fb2e6f9bc00, 1
0x7fb2e6f9efb0, 4, 4, 1, 0, _dl_find_dso_for_object, 0x7fb2e6f9bc00, 1
0x40d280, 4, 20, 0, 7, sendMTFValues, 0x40ceee, 1
0x40d25b, 4, 0, 0, 0, sendMTFValues, 0x40ceee, 1
0x7fb2e6f9f520, 4, 4, 1, 0, _dl_find_dso_for_object, 0x7fb2e6f9bc00, 1
0x7fb2e6f88a5f, 4, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f92ea0, 4, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f89ad0, 4, 1, 4, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f93727, 4, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f89b98, 4, 1, 4, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f92d00, 4, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d316a340, 4, 0, 0, 0, _IO_fclose, 0x7fb2d316a260, 4
0x7fb2d3177dfc, 4, 0, 0, 0, _IO_link_in, 0x7fb2d3177cb0, 7
0x7fb2d3177ce9, 4, 0, 0, 0, _IO_link_in, 0x7fb2d3177cb0, 7
0x7fb2e6f967a9, 4, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d3177b4d, 4, 0, 0, 0, _IO_un_link, 0x7fb2d31779d0, 8
0x7fb2d316a280, 4, 0, 0, 0, _IO_fclose, 0x7fb2d316a260, 4
0x7fb2e6f8d97d, 4, 2, 2, 1, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f967a0, 4, 1, 4, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d3177b25, 4, 0, 0, 0, _IO_un_link, 0x7fb2d31779d0, 8
0x7fb2d3177a04, 4, 0, 0, 0, _IO_un_link, 0x7fb2d31779d0, 8
0x7fb2d317687c, 4, 4, 1, 0, _IO_file_close_it, 0x7fb2d3176840, 4
0x7fb2d311d340, 4, 1, 4, 0, .text, 0x7fb2d311c8b0, 0
0x7fb2e6f8d618, 4, 4, 1, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f8d90d, 4, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6fa4f40, 4, 0, 0, 0, realloc, 0x7fb2e6fa1040, 0
0x7fb2e6f96280, 4, 1, 4, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f8fe26, 4, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f8dbd5, 4, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f8d91d, 4, 4, 1, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2d317f438, 4, 0, 0, 0, _IO_str_seekoff, 0x7fb2d317a0d0, 0
0x7fb2e6f8aac0, 3, 1, 3, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f93736, 3, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6fa0af8, 3, 0, 0, 0, __get_cpu_features, 0x7fb2e6fa0010, 0
0x7fb2e6f898d4, 3, 1, 3, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f937c4, 3, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f8dd46, 3, 4, 0, 2, .text, 0x7fb2e6f87ac0, 1
0x7fb2d316ac80, 3, 3, 1, 0, _IO_fgets, 0x7fb2d316aad0, 0
0x7fb2d3176bc1, 3, 0, 0, 0, _IO_file_fopen, 0x7fb2d3176b30, 3
0x7fb2d3176a69, 3, 0, 0, 0, _IO_file_open, 0x7fb2d3176a40, 3
0x7fb2d318b0b7, 3, 3, 1, 0, strsignal, 0x7fb2d318a870, 0
0x7fb2d31a7910, 3, 2, 1, 1, strerror_l, 0x7fb2d319c370, 0
0x7fb2d3138986, 3, 3, 1, 0, __strtoll_l, 0x7fb2d31388d0, 0
