Image Address     , Image Name        , Routine Address   , Routine Name      , Instructions Count
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8980, _ZNSt8numpunctIcE22_M_initialize_numpunctEP15__locale_struct@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8820, _ZNSt7codecvtIwc11__mbstate_tEC1Em@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9770, _ZNSt11__timepunctIcEC1EPSt17__timepunct_cacheIcEm@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a87e0, _ZSt15future_categoryv@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a87a0, _ZNSt6locale5facet18_S_create_c_localeERP15__locale_structPKcS2_@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a86d0, _ZNSt6locale5_ImplC1Em@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9910, __cxa_guard_acquire@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9d80, _ZNSt10moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a7b90, _ZNSt7__cxx118messagesIcEC1Em@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a7ca0, _ZNSt5ctypeIcEC1EPKtbm@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a7e80, _ZNSt10moneypunctIcLb0EE24_M_initialize_moneypunctEP15__locale_structPKc@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a7fd0, _ZNSt5ctypeIwEC1Em@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a80b0, _ZNSt7__cxx118numpunctIwE22_M_initialize_numpunctEP15__locale_struct@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a80d0, _ZNSt7__cxx118messagesIwEC1Em@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8390, _ZNSt7__cxx1110moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9b10, _ZNSt11__timepunctIcE23_M_initialize_timepunctEP15__locale_struct@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8520, malloc@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9a40, _ZNSt7__cxx1110moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8620, __cxa_guard_release@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9990, _ZNSt8messagesIwEC1Em@plt, 3
0x7fee99c3e000, libc.so.6, 0x7fee99c73250, _setjmp, 2
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb45070, _dl_debug_state, 2
0x7fee99c3e000, libc.so.6, 0x7fee99c5d7c0, .plt, 2
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0ac490, _ZNSt14error_categoryD1Ev, 2
0x7fee99c3e000, libc.so.6, 0x7fee99c5d8a0, .plt.got, 1
0x7fee99935000, libm.so.6, 0x7fee9993a5f0, .plt.got, 1
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aac60, .plt.got, 1
0x7fee99706000, libgcc_s.so.1, 0x7fee99708a60, .plt.got, 1
